,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,trending,maven_id,maven_url
646,opytimizer,gugarosa/opytimizer,hyperopt,,{},5.0,,2,False,opytimizer,,,,,,,https://pypi.org/project/opytimizer,528.0,528.0,,,,,,,,,,,,3.0,,,,,,,,,,,
647,datmo,datmo/datmo,ml-experiments,,{},6.0,,2,False,datmo,,,,,7.0,7.0,https://pypi.org/project/datmo,63.0,63.0,,,,,,,,,,,,3.0,,,,,,,,,,,
648,azureml-examples,Azure/azureml-examples,ml-experiments,,{},285.0,,2,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
649,Pearl,facebookresearch/Pearl,reinforcement-learning,,{},54.0,,2,False,pearl,,,,,,,https://pypi.org/project/pearl,131.0,131.0,,,,,,,,,,,,3.0,,,,,,,,,,,
650,Maze,enlite-ai/maze,reinforcement-learning,,{},3.0,Maze is an application-oriented deep reinforcement learning framework.,2,False,maze-rl,,enliteai/maze,,['pytorch'],,,https://pypi.org/project/maze-rl,43.0,43.0,,,,2025-11-21 11:11:16.871310,,,https://hub.docker.com/r/enliteai/maze,2025-11-21 11:11:16.871310,,,1388.0,3.0,Custom,,,,,,,,,,
651,DeepNeuro,QTIM-Lab/DeepNeuro,medical-data,,{},6.0,,2,False,deepneuro,,,,,3.0,3.0,https://pypi.org/project/deepneuro,24.0,24.0,,,,,,,,,,,,3.0,,,,,,,,,,,
652,MedicalNet,Tencent/MedicalNet,medical-data,,{},,,2,False,,,,,,,,,,,,,,,,,,,,,,3.0,MIT,,,,,,,,,,
653,horovod,horovod/horovod,distributed-ml,,{},179.0,,2,False,horovod,,,,,,,https://pypi.org/project/horovod,,,,,,,,,,,,,,3.0,,,,,stable/horovod,,,,,,
654,OpenRec,ylongqi/openrec,recommender-systems,,{},11.0,,2,False,openrec,,,,,5.0,5.0,https://pypi.org/project/openrec,28.0,28.0,,,,,,,,,,,,3.0,,,,,,,,,,,
655,tts-generation-webui,rsxdalv/tts-generation-webui,audio,,{},15.0,,2,False,,,,,,11.0,11.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
656,modelkit,Cornerstone-OnDemand/modelkit,model-serialisation,,{},14.0,,2,False,modelkit,,,,,,,https://pypi.org/project/modelkit,758.0,758.0,,,,,,,,,,,,3.0,,,,,,,,,,,
657,jaxdf,ucl-bug/jaxdf,jax-utils,,{},4.0,,2,False,,,,,['jax'],13.0,13.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
658,Image Super-Resolution,idealo/image-super-resolution,image,,{},11.0,Implementation of RDN for image super resolution.,1,False,ISR,,idealo/image-super-resolution-gpu,,['tensorflow'],,,https://pypi.org/project/ISR,629.0,629.0,,,,2019-04-01 13:48:45.697251,,,https://hub.docker.com/r/idealo/image-super-resolution-gpu,2019-04-01 13:48:45.697251,1.0,1.0,1144.0,3.0,,,,,,,,,,,
659,best-of-ml-python,ml-tooling/best-of-ml-python,data-science,,{},57.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
660,awesome-agents,kyrolabs/awesome-agents,data-science,,{},129.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
661,awesome-ai-agents,e2b-dev/awesome-ai-agents,data-science,,{},60.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
662,awesome_time_series_in_python,MaxBenChrist/awesome_time_series_in_python,data-science,,{},23.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
663,Awesome-LLM,Hannibal046/Awesome-LLM,data-science,,{},134.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
664,mace,XiaoMi/mace,ml-frameworks,,{},69.0,,1,False,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
665,NeuralCompression,facebookresearch/NeuralCompression,image,,{},10.0,,1,False,neuralcompression,,,,,,,https://pypi.org/project/neuralcompression,123.0,123.0,,,,,,,,,,,,3.0,,,,,,,,,,,
666,scenic,google-research/scenic,image,,{},100.0,,1,False,,,,,['jax'],,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
667,tensorflow-graphics,tensorflow/graphics,image,,{},41.0,,1,False,tensorflow-graphics,,,,['tensorflow'],,,https://pypi.org/project/tensorflow-graphics,,,,,,,,,,,,,,3.0,,,,,,,,,-5.0,,
668,interpret-text,interpretml/interpret-text,interpretability,,{},18.0,,1,False,interpret-text,,,,['jupyter'],,,https://pypi.org/project/interpret-text,70.0,70.0,,,,,,,,,,,,3.0,,,,,,,,,,,
669,Attribution Priors,suinleelab/attributionpriors,interpretability,,{},6.0,,1,False,attributionpriors,,,,"['tensorflow', 'pytorch']",7.0,7.0,https://pypi.org/project/attributionpriors,,,,,,,,,,,,,,3.0,,,,,,,,,,,
670,pyRDF2Vec,IBCNServices/pyRDF2Vec,graph,,{},7.0,Python Implementation and Extension of RDF2Vec.,1,False,pyrdf2vec,,,,,,,https://pypi.org/project/pyrdf2vec,135.0,135.0,,,,,,,,,,,,3.0,,,,,,,,,,,
671,typedb-ml,vaticle/typedb-ml,graph,,{},13.0,,1,False,typedb-ml,,,,,,,https://pypi.org/project/typedb-ml,48.0,48.0,,,,,,,,,,,,3.0,,,,,,,,,,,
672,Backtesting.py,kernc/backtesting.py,financial-data,,{},46.0,,1,False,backtesting,,,,,,,https://pypi.org/project/backtesting,,,,,,,,,,,,,,3.0,,,,,,,,,-5.0,,
673,HyperparameterHunter,HunterMcGushion/hyperparameter_hunter,hyperopt,,{},4.0,,1,False,hyperparameter-hunter,,,,,,,https://pypi.org/project/hyperparameter-hunter,77.0,77.0,,,,,,,,,,,,3.0,,,,,,,,,,,
