,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,trending,license,npm_id,npm_url,npm_monthly_downloads,brew_id,apt_id,yum_id,helm_id,maven_id,maven_url
193,Perspective,finos/perspective,data-viz,,{},103.0,Streaming pivot visualization via WebAssembly.,13,False,perspective-python,conda-forge/perspective,,,['jupyter'],212.0,212.0,https://pypi.org/project/perspective-python,30755.0,71514.0,https://anaconda.org/conda-forge/perspective,2020-06-07 15:10:08.248,2026-07-09 19:35:34.135,2026-07-09 19:35:34.135000,2942417.0,87.0,,,,,,2.0,,,@finos/perspective-jupyterlab,https://www.npmjs.com/package/@finos/perspective-jupyterlab,452.0,,,,,,
194,pyecharts,pyecharts/pyecharts,data-viz,,{},45.0,,13,False,pyecharts,,,https://github.com/pyecharts/pyecharts/blob/master/README.en.md,['jupyter'],5685.0,5685.0,https://pypi.org/project/pyecharts,1108737.0,1108737.0,,,,,,,,,,,,2.0,,,,,,,,,,,
195,dgl,dmlc/dgl,graph,,{},298.0,,13,False,dgl,,,,,4256.0,4256.0,https://pypi.org/project/dgl,151636.0,151636.0,,,,,,,,,,,,2.0,,,,,,,,,,,
196,ogb,snap-stanford/ogb,graph,,{},32.0,Open Graph Benchmark.,13,False,ogb,conda-forge/ogb,,,,2786.0,2786.0,https://pypi.org/project/ogb,123697.0,124800.0,https://anaconda.org/conda-forge/ogb,2020-09-02 17:22:47.382,2025-04-22 14:57:35.121,2025-04-22 14:57:35.121000,77277.0,11.0,,,,,,2.0,,,,,,,,,,,
197,PySAL,pysal/pysal,geospatial-data,,{},82.0,Library of spatial analysis functions.,13,False,pysal,conda-forge/pysal,,,,1872.0,1872.0,https://pypi.org/project/pysal,99081.0,113887.0,https://anaconda.org/conda-forge/pysal,2020-07-30 10:24:56.727,2026-02-01 19:29:27.242,2026-02-01 19:29:27.242000,1066088.0,24.0,,,,,,3.0,,,,,,,,,,,
198,Satpy,pytroll/satpy,geospatial-data,,{},191.0,Meteorological processing package.,13,False,satpy,conda-forge/satpy,,,,207.0,207.0,https://pypi.org/project/satpy,86037.0,92014.0,https://anaconda.org/conda-forge/satpy,2020-06-10 19:56:45.218,2026-03-05 18:39:22.244,2026-03-05 18:39:22.244000,436387.0,76.0,,,,,,3.0,,,,,,,,,,,
199,Bayesian Optimization,fmfn/BayesianOptimization,hyperopt,,{},57.0,,13,False,bayesian-optimization,,,,,4227.0,4227.0,https://pypi.org/project/bayesian-optimization,846177.0,846177.0,,,,,,,,,,,,2.0,,,,,,,,,,,
200,featuretools,alteryx/featuretools,hyperopt,,{},75.0,a framework for automated feature engineering.,13,False,featuretools,conda-forge/featuretools,,,,2167.0,2167.0,https://pypi.org/project/featuretools,292497.0,296757.0,https://anaconda.org/conda-forge/featuretools,2020-06-04 23:17:05.307,2025-04-22 14:56:57.460,2025-04-22 14:56:57.460000,310985.0,77.0,,,,,,2.0,,,,,,,,,,,
201,Neptune.ai,neptune-ai/neptune-client,ml-experiments,,{},59.0,Neptune Client.,13,False,neptune-client,conda-forge/neptune-client,,,,980.0,980.0,https://pypi.org/project/neptune-client,57067.0,63149.0,https://anaconda.org/conda-forge/neptune-client,2020-05-20 10:42:43.652,2025-04-22 14:57:20.407,2025-04-22 14:57:20.407000,450084.0,132.0,,,,,,2.0,,,,,,,,,,,
202,aim,aimhubio/aim,ml-experiments,,{},82.0,"A super-easy way to record, search and compare 1000s of ML training runs.",13,False,aim,conda-forge/aim,,,,1232.0,1232.0,https://pypi.org/project/aim,122754.0,125760.0,https://anaconda.org/conda-forge/aim,2021-07-07 13:38:09.942,2026-02-02 15:43:00.878,2026-02-02 15:43:00.878000,180394.0,12.0,,,,,,2.0,,,,,,,,,,,
203,pyRiemann,pyRiemann/pyRiemann,ml-frameworks,,{},42.0,Biosignals classification with Riemannian Geometry.,13,False,pyriemann,conda-forge/pyriemann,,https://pyriemann.readthedocs.io/en/latest/,['sklearn'],512.0,512.0,https://pypi.org/project/pyriemann,92134.0,92612.0,https://anaconda.org/conda-forge/pyriemann,2022-06-08 12:07:57.776,2026-07-21 00:00:13.884,2026-07-21 00:00:13.884000,23427.0,11.0,,,,,,3.0,,,,,,,,,,,
204,dask,dask/dask,distributed-ml,,{},655.0,Parallel PyData with Task Scheduling.,13,False,dask,conda-forge/dask,,,,,,https://pypi.org/project/dask,28685084.0,28917168.0,https://anaconda.org/conda-forge/dask,2020-05-27 04:42:11.739,2026-07-14 19:10:02.983,2026-07-14 19:10:02.983000,17174232.0,210.0,,,,,,2.0,-33.0,,,,,,,,stable/dask,,
205,dask-ml,dask/dask-ml,distributed-ml,,{},82.0,Distributed and parallel machine learning using dask.,13,False,dask-ml,conda-forge/dask-ml,,,,1353.0,1353.0,https://pypi.org/project/dask-ml,115468.0,133587.0,https://anaconda.org/conda-forge/dask-ml,2020-05-26 20:29:09.888,2025-04-22 14:56:42.913,2025-04-22 14:56:42.913000,1340834.0,31.0,,,,,,2.0,,,,,,,,,,,
206,pytorch-forecasting,jdb78/pytorch-forecasting,time-series-data,,{},108.0,Timeseries forecasting with PyTorch.,13,False,pytorch-forecasting,conda-forge/pytorch-forecasting,,,,707.0,707.0,https://pypi.org/project/pytorch-forecasting,334146.0,335620.0,https://anaconda.org/conda-forge/pytorch-forecasting,2020-09-14 11:56:00.946,2026-06-25 08:25:03.077,2026-06-25 08:25:03.077000,103245.0,32.0,,,,,,2.0,,,,,,,,,,,
