,name,github_id,category,resource,homepage,contributor_count,description,projectrank,show,pypi_id,conda_id,dockerhub_id,docs_url,labels,dependent_project_count,github_dependent_project_count,pypi_url,pypi_monthly_downloads,monthly_downloads,conda_url,created_at,conda_latest_release_published_at,updated_at,conda_total_downloads,release_count,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_stars,star_count,dockerhub_pulls,projectrank_placing,license,trending,npm_id,npm_url,npm_monthly_downloads,helm_id,brew_id,apt_id,yum_id,maven_id,maven_url
609,Auto Tune Models,HDI-Project/ATM,hyperopt,,{},17.0,,3,False,atm,,,,,26.0,26.0,https://pypi.org/project/atm,74.0,74.0,,,,,,,,,,,,3.0,,,,,,,,,,,
610,AlphaPy,ScottfreeLLC/AlphaPy,hyperopt,,{},5.0,,3,False,alphapy,,,,,11.0,11.0,https://pypi.org/project/alphapy,79.0,79.0,,,,,,,,,,,,3.0,,,,,,,,,,,
611,chitra,gradsflow/chitra,ml-experiments,,{},14.0,A multi functional library for full stack Deep Learning.,3,False,chitra,conda-forge/chitra,,,,,,https://pypi.org/project/chitra,101.0,232.0,https://anaconda.org/conda-forge/chitra,2022-01-13 13:30:34.982,2025-04-22 14:58:08.672,2025-04-22 14:58:08.672000,7259.0,1.0,,,,,,3.0,,,,,,,,,,,
612,MONAILabel,Project-MONAI/MONAILabel,medical-data,,{},73.0,,3,False,monailabel-weekly,,,,,,,https://pypi.org/project/monailabel-weekly,169.0,169.0,,,,,,,,,,,,3.0,,,,,,,,,,,
613,mesh-transformer-jax,kingoflolz/mesh-transformer-jax,distributed-ml,,{},23.0,,3,False,,,,,['jax'],23.0,23.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
614,luminol,linkedin/luminol,time-series-data,,{},9.0,,3,False,luminol,,,,,88.0,88.0,https://pypi.org/project/luminol,,,,,,,,,,,,,,3.0,,,,,,,,,,,
615,chroma,chroma-core/chroma,nn-search,,{},190.0,,3,False,chromadb,,,,,4.0,4.0,https://pypi.org/project/chromadb,,,,,,,,,,,,,,3.0,,-7.0,,,,,,,,,
616,N2,kakao/n2,nn-search,,{},22.0,,3,False,n2,,,,,40.0,40.0,https://pypi.org/project/n2,,,,,,,,,,,,,,3.0,,,,,,,,,,,
617,Spotlight,maciejkula/spotlight,recommender-systems,,{},11.0,,3,False,,maciejkula/spotlight,,,['pytorch'],,,,,87.0,https://anaconda.org/maciejkula/spotlight,2017-06-28 21:27:28.858,2025-03-25 16:28:52.378,2025-03-25 16:28:52.378000,9642.0,6.0,,,,,,3.0,,,,,,,,,,,
618,recmetrics,statisticianinstilettos/recmetrics,recommender-systems,,{},20.0,,3,False,recmetrics,,,,,64.0,64.0,https://pypi.org/project/recmetrics,,,,,,,,,,,,,,3.0,,,,,,,,,,,
619,TTS,mozilla/TTS,audio,,{},56.0,,3,False,,,,,,24.0,24.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
620,TimeSide,Parisson/TimeSide,audio,,{},23.0,,3,False,TimeSide,,,,,20.0,20.0,https://pypi.org/project/TimeSide,,,,,,,,,,,,,,3.0,,,,,,,,,,,
621,modelkit,Cornerstone-OnDemand/modelkit,model-serialisation,,{},14.0,,3,False,modelkit,,,,,,,https://pypi.org/project/modelkit,2054.0,2054.0,,,,,,,,,,,,3.0,,,,,,,,,,,
622,CrypTen,facebookresearch/CrypTen,privacy-ml,,{},40.0,,3,False,crypten,,,,['pytorch'],,,https://pypi.org/project/crypten,624.0,624.0,,,,,,,,,,,,3.0,,,,,,,,,,,
623,DALI,NVIDIA/DALI,gpu-utilities,,{},104.0,,3,False,,,,,,,,,,,,,,,,,,,,,,3.0,Apache-2.0,,,,,,,,,,
624,BlazingSQL,BlazingDB/blazingsql,gpu-utilities,,{},50.0,,3,False,,blazingsql/blazingsql-protocol,,,,,,,,14.0,https://anaconda.org/blazingsql/blazingsql-protocol,2019-09-13 21:17:37.888,2025-03-25 16:26:10.601,2025-03-25 16:26:10.601000,1168.0,5.0,,,,,,3.0,,,,,,,,,,,
625,torch-uncertainty,ENSTA-U2IS-AI/torch-uncertainty,probabilistics,,{},20.0,,3,False,torch-uncertainty,,,,,,,https://pypi.org/project/torch-uncertainty,2022.0,2022.0,,,,,,,,,,,,3.0,,,,,,,,,,,
626,Performer Pytorch,lucidrains/performer-pytorch,pytorch-utils,,{},6.0,,3,False,performer-pytorch,,,,['pytorch'],,,https://pypi.org/project/performer-pytorch,7614.0,7614.0,,,,,,,,,,,,3.0,,,,,,,,,,,
627,Pytorch Toolbelt,BloodAxe/pytorch-toolbelt,pytorch-utils,,{},9.0,,3,False,pytorch_toolbelt,,,,['pytorch'],,,https://pypi.org/project/pytorch_toolbelt,6132.0,6132.0,,,,,,,,,,,,3.0,,,,,,,,,,,
628,Torch-Struct,harvardnlp/pytorch-struct,pytorch-utils,,{},16.0,,3,False,torch-struct,,,,['pytorch'],,,https://pypi.org/project/torch-struct,5704.0,5704.0,,,,,,,,,,,,3.0,,,,,,,,,,,
